ID,Age,Gender,F_V_BCD,S_Z_BCD,SH_ZH_BCD,TH_DH_BCD,F_V_WCD,S_Z_WCD,SH_ZH_WCD,TH_DH_WCD,F_V_CO,S_Z_CO,SH_ZH_CO,TH_DH_CO,F_V_CD,S_Z_CD,SH_ZH_CD,TH_DH_CD,Condition
S124,69,female ,-456.28986845626423,2345.00687822096,,,191.46983458187268,1620.4649943171685,1217.5591547173829,2482.304913952724,839.2295376200095,3565.603641962288,0.0,0.0,-1.6850991743776673,1.4396000301118463,,,cd
S096,71,female ,843.7325213153758,256.94715101724705,,1245.6401861209984,639.1802879156468,1654.1547784075055,1208.4675990062174,774.5117152469035,487.28128222971407,5618.62251642462,0.0,359.68081589274607,1.1702704407260998,0.15523946540718334,,1.309660316101696,cd
S144,73,male ,36.439682701511174,93.14291127941101,,-392.5161635685754,88.82204068189546,520.158949531299,2224.630780224392,445.73457252994,141.2043986622798,1041.1223642412356,0.0,1890.293982472227,0.29009406386872966,0.17299177484350625,,-0.6226818786106717,cd
S140,79,female ,401.92265189001034,35.04552934817639,,-104.42414580371383,87.22442681762669,159.50766155288272,513.3340675739283,175.60401875143074,-78.87192021207352,730.7530285271148,0.0,648.6604219827639,4.5046373518236305,0.21902266755871885,,-0.5752235215199537,cd
S127,72,female ,3055.537370042289,2544.147831148964,,,849.8570687006641,2051.3848789726135,921.2402143346643,1992.762747633964,-117.03993306746997,5558.3584120877,0.0,0.0,2.5422994925830444,1.2385285253293543,,,cd
S122,62,female ,1430.9044214061412,2862.6831740079697,,,449.73940480406577,1962.185256197368,1412.0273527513837,106.73714807417524,94.38048890304992,4414.696600016071,0.0,0.0,2.341801110971344,1.4385364008628767,,,cd
S129,65,female ,1955.831001612258,2955.731566487484,,,967.7793908028383,690.7031463405372,540.2689714340889,570.727320796184,-158.53678329477634,324.72846729022285,0.0,0.0,1.476963237688646,3.967590276895365,,,cd
S136,79,male ,1737.6455485455074,2622.3671430099357,,475.3401766478223,206.28439855680566,1015.4722399349938,4704.160744490544,742.4779294543372,-1371.0831401468083,452.7340879563162,0.0,2030.9770775427933,5.956344538274873,2.3167263039082227,,0.4526952909227963,cd
S107,77,male ,,-4258.9607688369615,8317.370275838788,,,1690.6964161356937,89.89415062103451,1703.2168812308346,0.0,8770.959652799867,-8124.74573556646,0.0,,-1.87995626213082,65.42437837227713,,cd
S083,52,male ,1844.4738731483005,639.5837743511261,,1289.5532073744337,456.4910288438651,1198.749830054765,538.0382097029618,511.76756208519066,-221.364494244581,3307.418106195033,0.0,389.96183992673014,2.875139338397322,0.5335380069422997,,2.494500002534168,cd
S145,77,male ,,1424.2771361696566,,-126.47885403526084,0.0,1530.7448363776787,,172.36052686484538,0.0,3728.474803588781,0.0,672.8070769516657,,0.92967311415734,,-0.518877825403523,cd
S142,73,male ,771.8148171495675,1421.4432912816633,,181.22583231278463,537.9374222158328,876.0337842665515,781.3289880454541,651.6425762610813,765.4825448807769,2171.287219529092,0.0,1839.2769063466485,1.3050033780329708,1.6180399677123058,,0.2778170132370552,cd
